bitsadmin.exe, C:\Windows\SysWOW64\bitsadmin.exe
choice.exe, C:\Windows\SysWOW64\choice.exe
clip.exe, C:\Windows\SysWOW64\clip.exe
cmdl32.exe, C:\Windows\SysWOW64\cmdl32.exe
driverquery.exe, C:\Windows\SysWOW64\driverquery.exe
eventcreate.exe, C:\Windows\SysWOW64\eventcreate.exe
forfiles.exe, C:\Windows\SysWOW64\forfiles.exe
getmac.exe, C:\Windows\SysWOW64\getmac.exe
gpresult.exe, C:\Windows\SysWOW64\gpresult.exe
iexpress.exe, C:\Windows\SysWOW64\iexpress.exe
openfiles.exe, C:\Windows\SysWOW64\openfiles.exe
schtasks.exe, C:\Windows\SysWOW64\schtasks.exe
setx.exe, C:\Windows\SysWOW64\setx.exe
systeminfo.exe, C:\Windows\SysWOW64\systeminfo.exe
takeown.exe, C:\Windows\SysWOW64\takeown.exe
taskkill.exe, C:\Windows\SysWOW64\taskkill.exe
tasklist.exe, C:\Windows\SysWOW64\tasklist.exe
timeout.exe, C:\Windows\SysWOW64\timeout.exe
waitfor.exe, C:\Windows\SysWOW64\waitfor.exe
wextract.exe, C:\Windows\SysWOW64\wextract.exe
where.exe, C:\Windows\SysWOW64\where.exe
whoami.exe, C:\Windows\SysWOW64\whoami.exe
